City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Xam Nua,LA,20.4197,104.0439,73.31,88,100,2.35,overcast clouds
268,Gigmoto,PH,13.7796,124.39,83.39,77,22,5.82,few clouds
269,Yengema,SL,8.7167,-11.1667,69.94,99,100,2.66,light rain
270,Port Hedland,AU,-20.3167,118.5667,57.25,88,4,5.75,clear sky
271,Ponta Do Sol,PT,32.6667,-17.1,70.72,80,8,5.21,clear sky
272,Nome,US,64.5011,-165.4064,44.67,76,100,21.85,overcast clouds
273,Narsaq,GL,60.9167,-46.05,48.38,73,99,1.23,overcast clouds
274,Liling,CN,27.6667,113.5,76.57,98,100,4.63,overcast clouds
275,Bubaque,GW,11.2833,-15.8333,79.56,84,99,11.21,overcast clouds
276,Desaguadero,PE,-16.5656,-69.0417,46.06,68,48,7.58,scattered clouds
277,Vicuna,CL,-30.0319,-70.7081,47.93,28,0,7.94,clear sky
278,Susanville,US,40.4163,-120.653,91.9,25,1,11.01,clear sky
279,Severo-Kurilsk,RU,50.6789,156.125,56.34,88,99,9.84,overcast clouds
280,Zdvinsk,RU,54.7021,78.661,54.32,87,21,6.2,few clouds
281,Garwolin,PL,51.8975,21.6147,63.88,89,99,1.01,overcast clouds
282,Haines Junction,CA,60.7522,-137.5108,66.15,42,86,14.97,overcast clouds
283,Cockburn Town,TC,21.4612,-71.1419,81.82,78,1,18.34,clear sky
284,Amarante Do Maranhao,BR,-5.5667,-46.7422,76.96,49,91,3.11,overcast clouds
285,Ancud,CL,-41.8697,-73.8203,42.22,79,10,8.77,clear sky
286,Kamenka,RU,51.3223,42.7678,55.02,91,0,12.39,clear sky
287,Tura,IN,25.5198,90.2201,75.07,97,94,5.61,overcast clouds
288,Qasigiannguit,GL,68.8193,-51.1922,50.25,80,66,2.28,broken clouds
289,Shebalino,RU,51.2917,85.6772,52.5,73,84,2.17,broken clouds
290,Buala,SB,-8.145,159.5921,85.12,66,36,6.91,light rain
291,Ndioum,SN,16.5129,-14.6471,92.93,39,27,7.56,scattered clouds
292,Qandala,SO,11.472,49.8728,87.48,52,83,11.83,broken clouds
293,Nyrob,RU,60.733,56.7202,59.63,85,18,3.33,few clouds
294,Nsanje,MW,-16.92,35.262,63.21,97,1,2.17,clear sky
295,Athabasca,CA,54.7169,-113.2854,81.01,59,2,9.28,clear sky
296,Taoudenni,ML,22.6783,-3.9836,96.37,9,1,3.13,clear sky
297,Konza,KE,-1.7426,37.1294,52.09,96,91,3.4,overcast clouds
298,Harrisburg,US,40.2737,-76.8844,82.33,80,75,11.01,broken clouds
299,Samarai,PG,-10.6167,150.6667,80.35,82,19,9.24,few clouds
300,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.16,82,20,12.66,few clouds
301,Dingle,PH,10.9995,122.6711,74.82,98,100,9.46,overcast clouds
302,Kjollefjord,NO,70.9457,27.3465,57.02,82,100,4.61,overcast clouds
303,Olafsvik,IS,64.8945,-23.7142,52.95,77,98,7.81,light rain
304,Pemba,MZ,-12.974,40.5178,72.3,83,20,8.05,few clouds
305,Nicoya,CR,10.1483,-85.452,76.44,92,100,1.45,overcast clouds
306,West Wendover,US,40.7391,-114.0733,97.81,15,0,6.91,clear sky
307,Akcaabat,TR,41.0212,39.5715,75.07,78,75,6.91,broken clouds
308,Dickinson,US,29.4608,-95.0513,96.89,67,40,20.71,scattered clouds
309,Bairiki,KI,1.3292,172.9752,86.0,70,20,17.27,few clouds
310,Yuksekova,TR,37.5736,44.2872,64.63,43,0,5.7,clear sky
311,Spornoye,RU,50.8448,37.2913,52.61,95,0,7.29,clear sky
312,Pandan Niog,PH,6.2282,120.5631,81.82,73,100,6.11,overcast clouds
313,Half Moon Bay,US,37.4636,-122.4286,93.54,73,0,27.63,haze
314,Talaya,RU,61.3833,152.75,79.14,50,62,6.11,broken clouds
315,Hofn,IS,64.2539,-15.2082,50.56,82,67,10.56,broken clouds
316,Karwar,IN,14.8,74.1333,77.41,85,100,6.06,overcast clouds
317,Verkhoyansk,RU,67.5447,133.385,57.07,81,87,7.7,light rain
318,Banjar,ID,-8.19,114.9675,77.9,81,99,4.79,overcast clouds
319,Zadar,HR,44.1197,15.2422,72.21,33,0,4.61,clear sky
320,Sterling,US,39.0062,-77.4286,81.97,89,75,5.01,broken clouds
321,Synya,RU,65.3718,58.0387,59.18,85,55,3.6,broken clouds
322,Salinas,US,36.6777,-121.6555,91.0,56,0,14.97,clear sky
323,Madona,LV,56.8533,26.217,49.51,92,87,3.94,overcast clouds
324,Ust-Nera,RU,64.5667,143.2,78.87,55,99,7.49,overcast clouds
325,Adrar,MR,20.5022,-10.0711,95.4,25,68,4.41,broken clouds
326,Keti Bandar,PK,24.1447,67.4497,82.31,86,98,8.99,overcast clouds
327,Cam Ranh,VN,11.9214,109.1591,82.36,78,40,8.05,scattered clouds
328,Margate,GB,51.3813,1.3862,75.69,66,32,1.01,scattered clouds
329,Praia,CV,14.9215,-23.5087,75.74,88,75,12.66,broken clouds
330,Mocuba,MZ,-16.8392,36.9856,63.23,98,34,1.03,scattered clouds
331,Hobyo,SO,5.3505,48.5268,75.09,82,59,25.72,broken clouds
332,Orchard Homes,US,46.8633,-114.0484,75.27,31,75,24.16,broken clouds
333,Noshiro,JP,40.2039,140.0242,72.43,95,100,4.97,light rain
334,Nyurba,RU,63.2842,118.3319,67.32,67,66,8.81,broken clouds
335,Wanning,CN,18.8003,110.3967,84.36,85,98,8.79,overcast clouds
336,Funadhoo,MV,6.15,73.2667,82.18,73,100,15.77,overcast clouds
337,Irtyshskiy,RU,58.3333,68.1333,57.79,81,15,5.26,few clouds
338,Santa Isabel,BR,-23.3156,-46.2214,65.5,91,76,4.23,broken clouds
339,Belle Glade,US,26.6845,-80.6676,86.05,78,100,8.23,overcast clouds
340,Yeniseysk,RU,58.4497,92.1703,55.15,97,97,0.07,overcast clouds
341,Raudeberg,NO,61.9875,5.1352,54.27,84,94,7.74,overcast clouds
342,Srednekolymsk,RU,67.45,153.6833,68.41,39,98,8.12,overcast clouds
343,Basqal,AZ,40.7552,48.391,71.55,45,0,11.16,clear sky
344,Avera,US,33.194,-82.5271,87.85,60,84,9.86,broken clouds
345,Bograd,RU,54.2344,90.8328,57.97,67,31,7.09,scattered clouds
346,Vestmanna,FO,62.1564,-7.1664,49.12,87,75,16.11,broken clouds
347,Tazovskiy,RU,67.4667,78.7,54.1,70,63,10.83,broken clouds
348,Hornepayne,CA,49.2138,-84.7705,70.34,85,33,13.76,scattered clouds
349,Diplo,PK,24.4667,69.584,82.78,79,100,13.09,overcast clouds
350,Salisbury,GB,51.0693,-1.7957,77.45,52,3,7.45,clear sky
351,Karakol,KG,42.4907,78.3936,59.07,53,2,3.15,clear sky
352,Bilibino,RU,68.0546,166.4372,51.89,53,100,3.13,overcast clouds
353,Urcos,PE,-13.6861,-71.6228,58.89,76,84,5.61,broken clouds
354,Honningsvag,NO,70.9821,25.9704,51.55,93,75,0.0,broken clouds
355,Manaure,CO,11.7751,-72.4445,82.85,72,67,23.33,broken clouds
356,Hervey Bay,AU,-25.2986,152.8535,63.01,79,51,11.99,broken clouds
357,Marshall,US,34.3834,-86.3333,82.72,75,0,3.44,clear sky
358,Bheramara,BD,24.0232,88.9925,80.38,89,99,6.31,overcast clouds
359,Hirara,JP,24.8,125.2833,87.66,79,75,18.41,broken clouds
360,Muros,ES,42.7762,-9.0603,67.08,83,9,10.56,clear sky
