City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,San Patricio,US,2022-07-14 06:21:43,28.017,-97.5169,84.09,81,19,10.16
122,Esso,RU,2022-07-14 06:21:43,55.9333,158.7,79.02,37,83,10.47
123,Isangel,VU,2022-07-14 06:21:44,-19.55,169.2667,80.71,83,75,6.91
124,Port Alfred,ZA,2022-07-14 06:21:44,-33.5906,26.891,57.18,61,30,4.0
125,Namibe,AO,2022-07-14 06:21:44,-15.1961,12.1522,63.05,88,0,0.43
126,Gorontalo,ID,2022-07-14 06:21:45,0.5412,123.0595,81.34,88,91,3.18
127,Qaanaaq,GL,2022-07-14 06:21:45,77.484,-69.3632,40.3,93,100,5.64
128,Kodiak,US,2022-07-14 06:21:45,57.79,-152.4072,56.71,82,100,4.61
129,Dingle,PH,2022-07-14 06:21:45,10.9995,122.6711,87.37,70,43,5.32
130,Kapaa,US,2022-07-14 06:21:46,22.0752,-159.319,82.38,86,75,16.11
131,Severo-Kurilsk,RU,2022-07-14 06:21:46,50.6789,156.125,54.3,95,98,5.08
132,Bandiagara,ML,2022-07-14 06:21:46,14.3501,-3.6104,79.63,65,100,10.92
133,Acarau,BR,2022-07-14 06:21:47,-2.8856,-40.12,78.37,80,5,15.28
134,Bredasdorp,ZA,2022-07-14 06:21:47,-34.5322,20.0403,56.91,86,74,10.22
135,Yate,GB,2022-07-14 06:21:47,51.5407,-2.4184,59.54,77,21,1.01
136,Pevek,RU,2022-07-14 06:21:48,69.7008,170.3133,37.31,79,82,19.8
137,Saint-Francois,FR,2022-07-14 06:21:48,46.4154,3.9054,65.68,72,0,3.44
138,Wukari,NG,2022-07-14 06:21:48,7.85,9.7833,72.55,95,100,6.6
139,Jamestown,US,2022-07-14 06:21:57,42.097,-79.2353,62.24,90,40,4.61
140,Okhotsk,RU,2022-07-14 06:22:49,59.3833,143.3,68.0,83,73,8.93
141,Cartagena,CO,2022-07-14 06:21:45,10.3997,-75.5144,78.42,94,0,3.44
142,Sept-Iles,CA,2022-07-14 06:22:49,50.2001,-66.3821,51.06,87,0,2.3
143,Tilichiki,RU,2022-07-14 06:22:50,60.4667,166.1,68.92,67,18,5.17
144,Guerrero Negro,MX,2022-07-14 06:22:50,27.9769,-114.0611,64.92,86,2,12.62
145,Kyabe,TD,2022-07-14 06:22:50,9.4515,18.9449,71.58,89,98,2.51
146,Flin Flon,CA,2022-07-14 06:22:50,54.7682,-101.865,68.83,79,100,11.18
147,Maasin,PH,2022-07-14 06:22:51,10.1336,124.8447,87.96,77,37,1.99
148,Kudahuvadhoo,MV,2022-07-14 06:22:51,2.6708,72.8944,82.47,75,25,10.49
149,Udachnyy,RU,2022-07-14 06:22:51,66.4167,112.4,64.45,45,34,8.19
150,Aklavik,CA,2022-07-14 06:22:52,68.2191,-135.0107,37.36,89,100,20.98
151,Tihemetsa,EE,2022-07-14 06:22:52,58.1462,25.0459,61.88,93,97,6.02
